a-,形容詞を作る、非、無
ab-,離脱
ad-|ac-|af-|ag-|al-|an-|ap-|ar-|as-|at-,方向|傾向|変化|添加|増加
acro-,先端
aero-,空気の|空中の|航空の
Afro-,アフリカの
agro-,畑、土壌、農業
ambi-|amphi-,両側、周
ana-,上方に、さかのぼって、逆に、再び
Anglo-,イギリスの
ante-,前の|前方の
anti- |ant-,反対|非|逆
apo-,離脱
aqua-,水の
arch-|archi-,主要な|最高の
audio-,音、聴
astro-,星の|天体の
auto-,自身、自力、独自、自動の
baro-,気圧
be-,すっかり～、～と呼ぶ、～で囲む、～をつけた
bene-,善、良
bi-,二つの
biblio-,本、聖書
bio-,生命の
by-,そばに、副次的な、本道から逸れた
cardio-,心臓の
cat-|cata-,～下に向かって、～に反して、～を通じて、完全に
cent-|centi-,100分の1
chrono-,時間の
cine-,映画
circum-,周りに|あちこちに
co-,共同，共通，同等
con-|com-|col|cor,共に|一緒に
contra-,反対に
counter-,逆の|対応の
cyber-,コンピューターの
de-,否定|強調|下降|分離|悪化
deca-|dec-|deka-,10倍
deci-|,10分の1
demi-,半分
dendro-,樹木
di-,二つ|倍
dia-,横切って|隔てて
dis-|di-,否定|反対|分離|強調
dys-,悪化、不良、困難
eco-,家の|環境の
en-|em-,中に入れる|～にする
endo-,内部
epi-,上、外
ethno-,民族
eu-,良、好、善、真正
Euro-,ヨーロッパの
ex-|e-|ef-,前の|全くの|外へ
exa-,1018
exo-,外
extra-,～を超えた|の上に|範囲外の
femto-,10月15日
ferro-,鉄
for-,禁止、除外、無視
fore-,前部の|前もって
Franco-,フランスの
gastro-,胃の
geo-,地球の|地面の
giga-,10億倍|巨大な
grand-,1親等隔てた
hecto-|hect-,100倍
hemo-|haemo-,血
helio-,太陽
hemi-,半分
hepta-|hept,７の
hetero-|heter,異なった、他の
hexa-|hex,6の
homo-,同種の|等しい
hydro-|hydr-,水の
hygro-,湿った
hyper-,過度の|超
hypo-|hyp,下に、以下、少し
in-|il-|im-|ir-,否定|反対|中へ
Indo-,インドの
infra-,下に、下部に
inter-,間の|間に|互いに
intra-,内部に
intro-,中へ
iso-,同一の|類似の
kilo-,1000倍
macro-,大きい、長い
mal-,悪い|不十分
maxi-,最高の|最大の
mega-,100万倍|巨大な
meta-,のちに，変化して，越えた，共に
micro-,100万分の1|　微細な
mid-,中の|中間の
milli-,1000分の1
mini-,小さい|短い
mis-,誤って、悪く、不利に
mono-,一つの
multi-,複数の、多くの
nano-,10億分の1、極微細な
neo-,新しい
neuro-,神経の
new-,近頃、新たに
nitro-,硝酸、窒素の
non-,否定
ob-|o-|oc-|of-|op-,～に向かって、～に反対して、～の上に、完全に
oct-|octa-|octo-,8の
off-,離れて
omni-,全部、総合
ortho-|orth-,直、正
out-,外の、離れて
over-,過度に、超えて
oxy-,酸素の
paleo-|palaeo-,古、旧、原始
pan-,全、総
para-,側、以上、以外、不正、不規則、擬似、保護、防護、
penta-|pent-,5の
per-,完全に、非常に
peri-,周囲、近い
peta-,1000兆倍
petro-,石、岩、石油
philo-|phil-,愛する、～びいき
phono-,音、声
photo-,光、写真
pico-,1兆分の1
poly-,多くの
post-,後の、次の
pre-,前の、先に
pro-,前の、前方の、先に、代わりに、福、支持
proto-,初期の、原始の
pseudo-,偽の、仮の
psycho|psych-,霊魂、精神
pyro-,火
quad-|quadri-,4の
quasi-,類似、半、準、擬似
radio-,放射、半径、ラジウム、無線
re-,再び
retro-,後方へ、元へ
Russo-,ロシアの
self-,自己、自動
semi-,半分
Sino-,中国の
step-,血縁のない
stereo-,固い、実体の
strato-,成層圏
sub-|suc-|suf-|sug-|sum-|sup-|sur-|sus-,下へ、下の
sulfo-|sulf-|sulpho-|sulph-,硫黄
super-,上の、過度に
supra-,上に
syn-|sy-|sym-|syl-|sys-|syr-,一緒に
sur-,上から、上の
techno-,(科学)技術
tele-|tel-,遠い、電信の
tera-,1兆倍
thermo-|therm-,熱
topo-|top-,場所
tetra-,4の
trans-,横断、貫通、変化
tri-,3の
turbo-,タービンの
twi-,2の
ultra-,超えて、過度に
un-,反対、無
under-,下の、下に、劣っている、不十分な
undeca-,11の
uni-,一つの
up-,動詞・動名詞に付けて各品詞を作る
vermi-,虫
vice-,代理の、代行の
vita-,生命の
with-,後方へ、離れて、反対に
